img_id,bbox,query
14752.jpg,"[264.0, 169.0, 313.0, 446.0]",['wall to right of door']
14752.jpg,"[104.0, 422.0, 342.0, 480.0]",['floor inside']
14752.jpg,"[100.0, 178.0, 139.0, 456.0]",['left door']
7427.jpg,"[321.0, 80.0, 360.0, 285.0]",['black']
7427.jpg,"[0.0, 0.0, 360.0, 336.0]",['bus']
7427.jpg,"[0.0, 202.0, 360.0, 480.0]",['bottom right']
7427.jpg,"[275.0, 18.0, 350.0, 259.0]",['guy in the back with white shirt']
7427.jpg,"[24.0, 71.0, 260.0, 480.0]",['girl']
23354.jpg,"[0.0, 293.0, 105.0, 332.0]",['mist left ground']
23354.jpg,"[0.0, 253.0, 480.0, 360.0]",['the railing']
23354.jpg,"[402.0, 155.0, 417.0, 192.0]","['3rd window from right', 'building on right, #1 of 3 top windows counting from left', 'tree on far right, the left most window above it']"
23354.jpg,"[460.0, 160.0, 480.0, 198.0]",['2nd floor window far right']
23354.jpg,"[122.0, 183.0, 250.0, 240.0]","['trees below reddish building', 'trees on the bottom of left building', 'trees in front of off-white building near the back']"
23354.jpg,"[134.0, 111.0, 381.0, 193.0]",['brown bldg']
23354.jpg,"[292.0, 251.0, 453.0, 284.0]",['area behind the 2 parked cars']
23354.jpg,"[45.0, 233.0, 307.0, 314.0]",['tree area on bottm-mid']
23354.jpg,"[431.0, 156.0, 448.0, 188.0]","['middle window top far right building', 'white building on right, middle window']"
38075.jpg,"[275.0, 0.0, 480.0, 82.0]",['top trees on right']
8808.jpg,"[0.0, 380.0, 360.0, 480.0]",['steps']
32371.jpg,"[0.0, 0.0, 480.0, 269.0]",['sky']
32371.jpg,"[50.0, 139.0, 426.0, 271.0]",['clouds under sign']
1290.jpg,"[0.0, 0.0, 248.0, 204.0]",['top left corner']
1290.jpg,"[392.0, 164.0, 479.0, 280.0]",['red thing next to bottom pillowcase']
1290.jpg,"[417.0, 0.0, 480.0, 159.0]",['upper right corner']
1290.jpg,"[8.0, 75.0, 441.0, 262.0]",['top bunk']
1290.jpg,"[263.0, 185.0, 416.0, 360.0]",['bottom white bed']
1290.jpg,"[103.0, 183.0, 266.0, 360.0]",['the wood stair']
39444.jpg,"[262.0, 59.0, 345.0, 157.0]",['boy face']
31844.jpg,"[0.0, 0.0, 480.0, 73.0]",['sky']
31844.jpg,"[98.0, 210.0, 480.0, 360.0]",['bottom right']
8352.jpg,"[37.0, 297.0, 58.0, 338.0]",['the hand of the guy on the far left with blue vest']
8352.jpg,"[45.0, 41.0, 464.0, 360.0]",['the people']
8352.jpg,"[375.0, 174.0, 480.0, 360.0]",['orange boat on the right']
8352.jpg,"[0.0, 70.0, 480.0, 262.0]",['water left']
8352.jpg,"[0.0, 43.0, 256.0, 92.0]",['left rocks']
8352.jpg,"[0.0, 252.0, 51.0, 360.0]",['on left']
8352.jpg,"[0.0, 0.0, 480.0, 53.0]",['sky']
8352.jpg,"[60.0, 36.0, 480.0, 73.0]",['hill grayish color']
39634.jpg,"[115.0, 173.0, 207.0, 315.0]",['boy sitting in white shirt']
20723.jpg,"[269.0, 316.0, 360.0, 433.0]","['bush right side, near us', 'bushes on right side of road behind biker']"
20723.jpg,"[0.0, 163.0, 360.0, 296.0]",['mountain']
20723.jpg,"[0.0, 294.0, 360.0, 480.0]",['road']
27012.jpg,"[0.0, 0.0, 338.0, 236.0]",['wall']
27012.jpg,"[330.0, 8.0, 414.0, 242.0]",['the curtains']
27012.jpg,"[410.0, 12.0, 480.0, 253.0]","['window', 'sliding door on right']"
27012.jpg,"[230.0, 100.0, 267.0, 126.0]",['light on wall']
27012.jpg,"[0.0, 103.0, 480.0, 360.0]",['bed']
27012.jpg,"[233.0, 199.0, 300.0, 232.0]",['nightstand']
27012.jpg,"[42.0, 0.0, 126.0, 103.0]",['picture']
39111.jpg,"[0.0, 0.0, 480.0, 220.0]",['jk sky']
39111.jpg,"[49.0, 148.0, 444.0, 223.0]",['big rock/mountain']
31843.jpg,"[102.0, 167.0, 480.0, 360.0]",['snow bottom right']
719.jpg,"[255.0, 45.0, 364.0, 360.0]",['girl with red bow and blue shirt']
31843.jpg,"[0.0, 0.0, 480.0, 139.0]",['top']
31843.jpg,"[0.0, 145.0, 327.0, 360.0]",['bottom left']
719.jpg,"[161.0, 92.0, 201.0, 141.0]",['face of person with book']
4259.jpg,"[129.0, 275.0, 279.0, 360.0]","['tan shirt', 'the girls body', 'the girls shirt in the middle', 'tan shirt', 'yellow shirt', 'girls shirt in middle']"
4259.jpg,"[15.0, 177.0, 189.0, 360.0]","[""women's sweater on the left""]"
4259.jpg,"[330.0, 111.0, 400.0, 195.0]",['right face']
4259.jpg,"[178.0, 226.0, 231.0, 295.0]",['middle face']
4259.jpg,"[88.0, 123.0, 146.0, 193.0]","['face of leftmost person, glasses', 'face of woman on left']"
4259.jpg,"[272.0, 69.0, 480.0, 360.0]",['guy in red']
4259.jpg,"[130.0, 203.0, 279.0, 360.0]",['person in middle']
4259.jpg,"[20.0, 106.0, 190.0, 360.0]",['left woman']
4259.jpg,"[20.0, 69.0, 480.0, 360.0]",['3 people']
35715.jpg,"[0.0, 0.0, 480.0, 67.0]",['uppper sky']
35715.jpg,"[0.0, 54.0, 480.0, 96.0]",['back buildings']
35715.jpg,"[0.0, 73.0, 480.0, 122.0]",['bridge']
35715.jpg,"[0.0, 117.0, 480.0, 360.0]",['water']
9384.jpg,"[191.0, 0.0, 360.0, 428.0]",['rocks to right of water']
9384.jpg,"[0.0, 0.0, 360.0, 480.0]",['top left corner']
9384.jpg,"[35.0, 198.0, 233.0, 480.0]",['people']
9384.jpg,"[158.0, 0.0, 284.0, 409.0]",['white waterfall']
14523.jpg,"[127.0, 127.0, 209.0, 225.0]",['bird center left']
14523.jpg,"[0.0, 0.0, 480.0, 56.0]",['the hill']
14523.jpg,"[0.0, 126.0, 480.0, 360.0]",['water']
14499.jpg,"[17.0, 100.0, 409.0, 340.0]",['the red jacket']
14499.jpg,"[0.0, 14.0, 267.0, 95.0]",['left cloud']
14499.jpg,"[253.0, 276.0, 480.0, 360.0]",['brown rocks right most bottom']
14499.jpg,"[0.0, 0.0, 480.0, 98.0]",['top right blue sky']
13029.jpg,"[90.0, 2.0, 370.0, 360.0]",['people']
13029.jpg,"[0.0, 113.0, 404.0, 360.0]",['bottom left']
13029.jpg,"[350.0, 225.0, 480.0, 360.0]",['bottom right']
13029.jpg,"[386.0, 0.0, 453.0, 259.0]",['yellow wall by blue shutter']
23371.jpg,"[419.0, 50.0, 480.0, 360.0]",['on the right']
1272.jpg,"[0.0, 0.0, 480.0, 288.0]",['walls']
1272.jpg,"[234.0, 175.0, 430.0, 356.0]",['right bed']
1272.jpg,"[27.0, 290.0, 411.0, 360.0]",['floor in between beds']
1272.jpg,"[43.0, 169.0, 259.0, 336.0]",['left bed']
1272.jpg,"[238.0, 15.0, 314.0, 70.0]",['picture']
1272.jpg,"[426.0, 271.0, 480.0, 360.0]","['bottom right floor', 'bottom piece of floor on right']"
1272.jpg,"[130.0, 101.0, 167.0, 130.0]",['left lamp shade']
1272.jpg,"[406.0, 103.0, 468.0, 139.0]",['lamp on right']
3777.jpg,"[224.0, 136.0, 316.0, 195.0]",['people on top of waterfall']
24402.jpg,"[0.0, 175.0, 360.0, 480.0]",['bottom of picture']
20013.jpg,"[0.0, 167.0, 480.0, 360.0]",['bottom grass']
20013.jpg,"[126.0, 210.0, 175.0, 348.0]","['white horse', 'white horse']"
8619.jpg,"[77.0, 177.0, 108.0, 249.0]",['guy in speedo']
20013.jpg,"[147.0, 108.0, 392.0, 136.0]","['sky in middle without clouds', 'blue sky middle']"
20013.jpg,"[312.0, 200.0, 397.0, 283.0]","['horse on front right!with rider', 'right horse']"
20013.jpg,"[106.0, 167.0, 185.0, 292.0]",['dude on horse on left white horse dude']
39213.jpg,"[0.0, 139.0, 480.0, 360.0]",['cliff']
39213.jpg,"[0.0, 0.0, 480.0, 145.0]",['sky']
11595.jpg,"[41.0, 39.0, 412.0, 181.0]",['embarque']
7927.jpg,"[0.0, 230.0, 225.0, 480.0]",['people']
7927.jpg,"[167.0, 0.0, 360.0, 186.0]",['top right']
8519.jpg,"[0.0, 0.0, 360.0, 293.0]",['wall']
8519.jpg,"[4.0, 32.0, 360.0, 396.0]",['woman']
8519.jpg,"[0.0, 351.0, 360.0, 480.0]",['table infront of girl']
40606.jpg,"[35.0, 269.0, 113.0, 360.0]",['blond haired lady on bottom left']
8519.jpg,"[138.0, 319.0, 340.0, 475.0]",['plate']
26438.jpg,"[16.0, 65.0, 99.0, 332.0]",['stairs']
4706.jpg,"[0.0, 382.0, 360.0, 446.0]",['water. sorry']
4706.jpg,"[0.0, 0.0, 360.0, 389.0]",['sky']
4706.jpg,"[206.0, 314.0, 325.0, 480.0]",['man']
4706.jpg,"[0.0, 0.0, 235.0, 339.0]",['tree']
4706.jpg,"[0.0, 432.0, 360.0, 480.0]",['sand']
26438.jpg,"[8.0, 212.0, 107.0, 360.0]",['whatever is close to the camera on left bottom']
22745.jpg,"[0.0, 0.0, 186.0, 190.0]",['top left']
22745.jpg,"[0.0, 0.0, 360.0, 252.0]",['sky']
21559.jpg,"[108.0, 317.0, 282.0, 480.0]",['stairway']
22745.jpg,"[0.0, 207.0, 125.0, 404.0]",['big bushy tree']
5044.jpg,"[0.0, 137.0, 114.0, 429.0]",['left grass']
21559.jpg,"[0.0, 0.0, 139.0, 449.0]",['tree left top']
21559.jpg,"[305.0, 196.0, 360.0, 379.0]",['tree right bottom']
22890.jpg,"[0.0, 147.0, 364.0, 360.0]",['city bottom left']
5044.jpg,"[209.0, 86.0, 271.0, 161.0]",['rt face']
22890.jpg,"[0.0, 0.0, 480.0, 67.0]",['blue sky']
39338.jpg,"[0.0, 0.0, 480.0, 205.0]",['sky']
20800.jpg,"[0.0, 0.0, 480.0, 113.0]",['sky']
19279.jpg,"[266.0, 87.0, 343.0, 321.0]",['lady on right']
20800.jpg,"[215.0, 174.0, 480.0, 360.0]",['water']
20800.jpg,"[251.0, 90.0, 480.0, 174.0]",['hill on right']
20800.jpg,"[0.0, 18.0, 267.0, 360.0]",['man']
23486.jpg,"[45.0, 59.0, 190.0, 360.0]",['woman striped shirt front']
23486.jpg,"[0.0, 0.0, 480.0, 96.0]",['ceiling crawling with spiders']
23486.jpg,"[401.0, 246.0, 480.0, 360.0]",['bottom right white chair']
23486.jpg,"[198.0, 53.0, 267.0, 144.0]",['window above smiley guy']
23486.jpg,"[0.0, 18.0, 23.0, 293.0]",['window on far left']
23486.jpg,"[15.0, 20.0, 99.0, 360.0]",['left most red']
23486.jpg,"[132.0, 266.0, 443.0, 360.0]",['table closest to us']
40106.jpg,"[174.0, 149.0, 336.0, 242.0]",['seal closet to right']
40106.jpg,"[0.0, 0.0, 480.0, 150.0]",['top']
40106.jpg,"[88.0, 131.0, 155.0, 214.0]",['seal left side']
1369.jpg,"[0.0, 0.0, 480.0, 307.0]",['wall']
14656.jpg,"[0.0, 273.0, 360.0, 480.0]",['ground below man']
1369.jpg,"[407.0, 258.0, 474.0, 360.0]",['fridge']
9938.jpg,"[247.0, 290.0, 331.0, 360.0]",['seat bottom right']
9938.jpg,"[0.0, 0.0, 45.0, 52.0]","['the window, top left corner', 'widow top left']"
9938.jpg,"[43.0, 0.0, 480.0, 133.0]",['back wall']
9938.jpg,"[228.0, 15.0, 325.0, 63.0]",['painting of child on back wall']
9938.jpg,"[0.0, 43.0, 52.0, 216.0]",['blue shelf on left']
9938.jpg,"[53.0, 103.0, 150.0, 189.0]",['teacher desk on left by the guy']
9938.jpg,"[34.0, 291.0, 108.0, 360.0]",['far left chair']
9938.jpg,"[114.0, 265.0, 178.0, 351.0]",['chair/stool boy is sitting on']
21857.jpg,"[0.0, 176.0, 85.0, 233.0]",['water']
21857.jpg,"[0.0, 244.0, 360.0, 468.0]",['sand on both sides of girl']
21857.jpg,"[4.0, 102.0, 311.0, 480.0]",['face']
21857.jpg,"[0.0, 74.0, 137.0, 181.0]",['white cloud']
21857.jpg,"[0.0, 0.0, 360.0, 110.0]",['sky']
17564.jpg,"[295.0, 89.0, 360.0, 306.0]",['brush on mid right side']
17564.jpg,"[0.0, 120.0, 117.0, 354.0]",['brush far middle left']
17564.jpg,"[107.0, 21.0, 301.0, 336.0]",['any of the people']
17564.jpg,"[28.0, 209.0, 360.0, 480.0]",['bottom right corner']
17564.jpg,"[0.0, 0.0, 360.0, 114.0]","['sky top left', 'sky', 'top left', 'sky', 'the sky', 'sky']"
25295.jpg,"[167.0, 108.0, 238.0, 208.0]",['face']
25295.jpg,"[52.0, 103.0, 360.0, 480.0]",['man in blue shirt']
38959.jpg,"[0.0, 90.0, 480.0, 182.0]",['rock formation']
38959.jpg,"[0.0, 181.0, 100.0, 238.0]",['shrub on left']
38959.jpg,"[0.0, 0.0, 480.0, 113.0]",['sky']
38959.jpg,"[365.0, 188.0, 480.0, 263.0]","['adolescent tumbleweed on right', 'bush on far right']"
5097.jpg,"[142.0, 214.0, 174.0, 320.0]","['camera, 2nd from left', '2nd person left']"
5097.jpg,"[236.0, 219.0, 280.0, 310.0]",['middle dude']
5097.jpg,"[316.0, 199.0, 355.0, 310.0]","['whatever that creature is', '2nd person from right']"
5097.jpg,"[379.0, 186.0, 428.0, 297.0]",['that was correct... the person on the far right']
5097.jpg,"[0.0, 283.0, 480.0, 360.0]",['sand']
5097.jpg,"[0.0, 0.0, 480.0, 335.0]",['sky']
5097.jpg,"[56.0, 203.0, 102.0, 332.0]",['person on left']
20262.jpg,"[206.0, 273.0, 480.0, 360.0]",['deck']
20262.jpg,"[102.0, 166.0, 218.0, 360.0]",['man']
20262.jpg,"[0.0, 187.0, 113.0, 350.0]",['water to left of people']
31342.jpg,"[43.0, 124.0, 437.0, 286.0]",['trees middle']
31342.jpg,"[27.0, 0.0, 458.0, 224.0]",['sky']
16678.jpg,"[274.0, 95.0, 373.0, 178.0]","['patch of trees straight ahead', 'group of trees near water']"
16678.jpg,"[0.0, 0.0, 480.0, 70.0]",['sky']
16678.jpg,"[283.0, 85.0, 480.0, 321.0]",['hill on the right']
16678.jpg,"[0.0, 98.0, 299.0, 340.0]",['water left']
9754.jpg,"[278.0, 179.0, 330.0, 211.0]","['tes', 'bingo board sitting on a knee', 'bingo 3rd right', 'bingo board 3rd from right', 'third bingo board from right on grey knee', 'bingo sitting on knee.', 'bingo board just bottom left of rigth window']"
19012.jpg,"[106.0, 214.0, 137.0, 260.0]",['bottom level window on the left']
19012.jpg,"[107.0, 136.0, 139.0, 178.0]","['top left window', 'blue bldg, top floor leftest window', 'window top left', 'upper left window', 'window left above bottom one', 'window top left', 'window top left']"
19012.jpg,"[0.0, 0.0, 480.0, 164.0]",['sky']
19012.jpg,"[82.0, 28.0, 467.0, 322.0]",['building']
19012.jpg,"[0.0, 164.0, 88.0, 284.0]",['yellow buildng']
19012.jpg,"[0.0, 277.0, 479.0, 360.0]",['gravel']
20500.jpg,"[0.0, 0.0, 360.0, 427.0]",['middle of building']
20500.jpg,"[6.0, 212.0, 135.0, 451.0]",['palm']
37798.jpg,"[373.0, 202.0, 480.0, 320.0]",['grass right side of the road']
9163.jpg,"[165.0, 193.0, 219.0, 294.0]",['person']
9163.jpg,"[207.0, 228.0, 339.0, 333.0]",['bird blurry middle']
37798.jpg,"[63.0, 124.0, 116.0, 271.0]",['man on bike']
9726.jpg,"[152.0, 208.0, 179.0, 277.0]",['middle/left lamp post.']
27687.jpg,"[0.0, 286.0, 431.0, 360.0]",['bottom middle']
27687.jpg,"[302.0, 267.0, 359.0, 310.0]",['white car']
27687.jpg,"[0.0, 0.0, 480.0, 250.0]",['top of the sky']
27687.jpg,"[0.0, 120.0, 183.0, 268.0]","['trees, left.', 'trees on left']"
27687.jpg,"[125.0, 272.0, 229.0, 334.0]",['the ugly maroon car']
2391.jpg,"[0.0, 0.0, 480.0, 135.0]",['green trees']
2391.jpg,"[103.0, 0.0, 480.0, 75.0]",['sky']
2391.jpg,"[0.0, 91.0, 480.0, 360.0]",['sand']
9838.jpg,"[0.0, 0.0, 360.0, 166.0]",['the sky']
9838.jpg,"[166.0, 263.0, 360.0, 441.0]",['trees right side towards bottom']
9838.jpg,"[0.0, 60.0, 360.0, 350.0]","['hill in back', 'middle mountain', 'the mountain in the back', 'mountain and valley', 'mountain', 'anything in the exact middle', 'middle']"
9838.jpg,"[0.0, 352.0, 360.0, 480.0]",['roof']
9838.jpg,"[0.0, 165.0, 69.0, 234.0]",['my b. branch thing coming from off screen on left']
9838.jpg,"[62.0, 341.0, 126.0, 383.0]",['small building on bottom']
9838.jpg,"[0.0, 345.0, 206.0, 394.0]",['grass']
34167.jpg,"[207.0, 190.0, 217.0, 216.0]","['person in the middle in the background.', 'group of two at back, left person', '2 men together, the left one']"
34167.jpg,"[0.0, 0.0, 360.0, 43.0]",['sky very top']
34167.jpg,"[220.0, 192.0, 234.0, 223.0]","['tiny person on right in distance', 'person in the distance on the right hand side']"
6928.jpg,"[0.0, 0.0, 360.0, 215.0]","['the sky', 'sky top right']"
17977.jpg,"[0.0, 194.0, 480.0, 360.0]",['pool']
17977.jpg,"[0.0, 0.0, 407.0, 128.0]",['tall trees at back']
17977.jpg,"[369.0, 0.0, 480.0, 87.0]",['sky top rigth']
17977.jpg,"[0.0, 176.0, 342.0, 231.0]",['grass on left']
10809.jpg,"[0.0, 214.0, 308.0, 480.0]",['the bird poo on rock']
10809.jpg,"[0.0, 0.0, 360.0, 378.0]","['sky', 'sky']"
10809.jpg,"[68.0, 70.0, 159.0, 208.0]","['bird', 'bird', 'bird', 'bird', 'the crow', 'bird', 'bird']"
18741.jpg,"[0.0, 0.0, 360.0, 479.0]",['building']
26431.jpg,"[173.0, 196.0, 207.0, 276.0]",['center man in black shirt']
18741.jpg,"[175.0, 0.0, 360.0, 89.0]","['clouds', 'okay, so the top right corner above castle spider']"
18741.jpg,"[193.0, 437.0, 360.0, 480.0]",['the road in the corner']
18741.jpg,"[24.0, 424.0, 360.0, 480.0]",['sidewalk in fron of red shirt person']
26431.jpg,"[217.0, 185.0, 277.0, 299.0]","['right person', 'person on right']"
9833.jpg,"[157.0, 165.0, 287.0, 302.0]",['guy']
9833.jpg,"[137.0, 183.0, 178.0, 242.0]",['hat']
9833.jpg,"[44.0, 0.0, 260.0, 82.0]",['very leafy']
9833.jpg,"[232.0, 0.0, 360.0, 72.0]",['in the back']
9833.jpg,"[55.0, 70.0, 321.0, 159.0]",['thick grass right of big tree']
